final score,7017232: I am a gamer.,7017233: How many days per week do you game?,7017234: How often do you game in a team?,7017232: I am a gamer..1,7017233: How many days per week do you game?.1,7017234: How often do you game in a team?.1,7017235: List the top 5 games you play with the most frequent first.,7017236: Does your gaming make you a better team player? How?,CODE,Gamer Group
94,Computer Science,Junior,12,True,2.0,Most of the time,"Fortnite,Fifa 23,Counter-Strike: Global Offensive,Apex Legends,Valorant","Playing with a team can have both pros and cons. Personally, I like when I play with a team more than playing solo because I always prefer collaboration and **teamwork**, learning from others, and a competitive environment. But what I don't like when playing with a team is conflict and communication issues.

 ",INT-GRP,Low Frequency
94,Computer Science,Junior,12,True,2.0,Most of the time,"Fortnite,Fifa 23,Counter-Strike: Global Offensive,Apex Legends,Valorant","Playing with a team can have both pros and cons. Personally, I like when I play with a team more than playing **solo** because I always prefer collaboration and teamwork, learning from others, and a competitive environment. But what I don't like when playing with a team is conflict and communication issues.

 ",DEF-SLO,Low Frequency
81,Computer Science,Junior,17,True,3.0,Some of the time,"Smash bros melee ,Smite,Risk of rain 2,Diablo IV ,FIFA","Yeah, I think it helps with communication and task completion. ",UNCODED,Low Frequency
90,Computer Science,Senior,12,False,0.0,Never,"Clash of clans ,Mario,care race,basketball ,Fifa",If we play Fifa if my friends did good that matter to me. team will make us to win the game.,UNCODED,Low Frequency
76,Computer Science,Senior,13,True,2.0,Some of the time,"Portal,Mario Kart,Rainbow Six Siege,Rocket League,Minecraft","My most played game is a **tactical** shooter where you play on a team of 5. I played many hours on the competitive version of this game, and I think it overall helped me become a better team player. I was committed to my team and did all I could to help them win, but also realized that winning is not always going to happen and that we can all learn from our mistakes.",PRO-STR,Low Frequency
76,Computer Science,Senior,13,True,2.0,Some of the time,"Portal,Mario Kart,Rainbow Six Siege,Rocket League,Minecraft","My most played game is a tactical shooter where you play on a team of 5. I played many hours on the competitive version of this game, and I think it overall helped me become a better **team player**. I was committed to my team and did all I could to help them win, but also realized that winning is not always going to happen and that we can all learn from our mistakes.",INT-GRP,Low Frequency
76,Computer Science,Senior,13,True,2.0,Some of the time,"Portal,Mario Kart,Rainbow Six Siege,Rocket League,Minecraft","My most played game is a tactical shooter where you play on a team of 5. I played many hours on the competitive version of this game, and I think it overall helped me become a better team player. I was committed to my team and did all I could to **help** them win, but also realized that winning is not always going to happen and that we can all learn from our mistakes.",INT-OTH,Low Frequency
76,Computer Science,Senior,13,True,2.0,Some of the time,"Portal,Mario Kart,Rainbow Six Siege,Rocket League,Minecraft","My most played game is a tactical shooter where you play on a team of 5. I played many hours on the competitive version of this game, and I think it overall helped me become a better team player. I was committed to my team and did all I could to help them win, but also realized that winning is not always going to happen and that we can all learn from our **mistakes**.",INT-VUL,Low Frequency
76,Computer Science,Senior,13,True,2.0,Some of the time,"Portal,Mario Kart,Rainbow Six Siege,Rocket League,Minecraft","My most played game is a tactical shooter where you play on a team of 5. I played many hours on the competitive version of this game, and I think it overall helped me become a better team player. I was committed to my team and did all I could to help them win, but also realized that winning is not always going to happen and that we can all learn from our **mistakes**.",DEF-IRR,Low Frequency
74,Computer Science,Junior,12,True,3.0,Most of the time,"CS:GO,Valorant,Rainbow Six Siege,Call of Duty MW2,Apex Legends","In my opinion I would say yes. I think that especially in competitive team games, the focus is pulled away from the performance of the self, and pushed more towards what's best for the team whether that means staying back and making sure your team doesn't get flanked, or diving in and pulling attention away from the team, even if it means putting yourself into a less favorable position on your own. Essentially it teaches you collaboration in a high **stress** environment, which is important in group projects and the real world.",COM-PSR,Low Frequency
74,Computer Science,Junior,12,True,3.0,Most of the time,"CS:GO,Valorant,Rainbow Six Siege,Call of Duty MW2,Apex Legends","In my opinion I would say yes. I think that especially in competitive team games, the focus is pulled away from the performance of the self, and pushed more towards what's best for the team whether that means staying back and making sure your team doesn't get flanked, or diving in and pulling attention away from the team, even if it means putting yourself into a less favorable position on your own. Essentially it teaches you **collaboration** in a high stress environment, which is important in group projects and the real world.",CLB-COP,Low Frequency
74,Computer Science,Junior,12,True,3.0,Most of the time,"CS:GO,Valorant,Rainbow Six Siege,Call of Duty MW2,Apex Legends","In my opinion I would say yes. I think that especially in competitive team games, the focus is pulled away from the performance of the self, and pushed more towards what's best for the team whether that means staying back and making sure your team doesn't get flanked, or diving in and pulling attention away from the team, even if it means putting yourself into a less favorable position on your own. Essentially it teaches you collaboration in a high stress environment, which is important in **group** projects and the real world.",INT-GRP,Low Frequency
74,Computer Science,Junior,12,True,3.0,Most of the time,"CS:GO,Valorant,Rainbow Six Siege,Call of Duty MW2,Apex Legends","In my opinion I would say yes. I think that especially in competitive team games, the focus is pulled away from the performance of the self, and pushed more towards what's best for the team whether that means staying back and making sure your team doesn't get flanked, or diving in and pulling attention away from the team, even if it means putting yourself into a less favorable position on your own. Essentially it teaches you collaboration in a high stress environment, which is important in group projects and the **real world**.",DEV-NRL,Low Frequency
98,Computer Science,Senior,18,True,1.0,Half of the time,"Getting over it,Minecraft (My nephew's current favorite),Astroneer,The Raft,Valheim","I think it does make me a better team player.  Working together with people in a game have helped me develop some skills, like good communication under **pressure**, that seem to translate well to working in a team in other areas. It also seems to help develop a ""team mindset"", making it easier to think about how to help a team to accomplish a goal instead of doing everting on your own.",COM-PSR,Low Frequency
98,Computer Science,Senior,18,True,1.0,Half of the time,"Getting over it,Minecraft (My nephew's current favorite),Astroneer,The Raft,Valheim","I think it does make me a better team player.  **Working together** with people in a game have helped me develop some skills, like good communication under pressure, that seem to translate well to working in a team in other areas. It also seems to help develop a ""team mindset"", making it easier to think about how to help a team to accomplish a goal instead of doing everting on your own.",CLB-COP,Low Frequency
98,Computer Science,Senior,18,True,1.0,Half of the time,"Getting over it,Minecraft (My nephew's current favorite),Astroneer,The Raft,Valheim","I think it does make me a better team player.  Working together with people in a game have helped me develop some **skills**, like good communication under pressure, that seem to translate well to working in a team in other areas. It also seems to help develop a ""team mindset"", making it easier to think about how to help a team to accomplish a goal instead of doing everting on your own.",CLB-MNG,Low Frequency
98,Computer Science,Senior,18,True,1.0,Half of the time,"Getting over it,Minecraft (My nephew's current favorite),Astroneer,The Raft,Valheim","I think it does make me a better team player.  Working together with people in a game have helped me develop some skills, like good communication under pressure, that seem to translate well to working in a team in other areas. It also seems to help develop a ""team mindset"", making it easier to think about how to help a team to accomplish a **goal** instead of doing everting on your own.",PRO-GOL,Low Frequency
98,Computer Science,Senior,18,True,1.0,Half of the time,"Getting over it,Minecraft (My nephew's current favorite),Astroneer,The Raft,Valheim","I think it does make me a better **team player**.  Working together with people in a game have helped me develop some skills, like good communication under pressure, that seem to translate well to working in a team in other areas. It also seems to help develop a ""team mindset"", making it easier to think about how to help a team to accomplish a goal instead of doing everting on your own.",INT-GRP,Low Frequency
98,Computer Science,Senior,18,True,1.0,Half of the time,"Getting over it,Minecraft (My nephew's current favorite),Astroneer,The Raft,Valheim","I think it does make me a better team player.  Working together with people in a game have helped me develop some skills, like good communication under pressure, that seem to translate well to working in a team in other areas. It also seems to **help** develop a ""team mindset"", making it easier to think about how to **help** a team to accomplish a goal instead of doing everting on your own.",INT-OTH,Low Frequency
92,Computer Science,Junior,15,True,7.0,Always,"GTA V,Call Of Duty MWII,CS:GO,Forza 5,Minecraft","I think it is subjective to what kind of gaming you are doing. While some games require no teamwork and probably don't make you a better team player, many are the opposite. Most of the games I play require good team work, communication, **planning**, and group decision making. These are all thigs that by definition contribute to being a better team player.",PRO-STR,High Frequency
92,Computer Science,Junior,15,True,7.0,Always,"GTA V,Call Of Duty MWII,CS:GO,Forza 5,Minecraft","I think it is subjective to what kind of gaming you are doing. While some games require no **teamwork** and probably don't make you a better **team player**, many are the opposite. Most of the games I play require good team work, communication, planning, and **group** decision making. These are all thigs that by definition contribute to being a better **team player**.",INT-GRP,High Frequency
93,Computer Science,Junior,13,True,3.0,Some of the time,"Minecraft,Warframe,Call Of Duty,Terraria,Forza",I think it definitely does because I know the annoyance of a poor **team player** and how much smoother tasks go when the whole team is contributing the most they can.,INT-GRP,Low Frequency
89,Computer Science,Senior,12,True,1.0,Never,"Remnant 2,Bloodborne,Elden Ring,Tekken 7,Zelda",I don't play co op.,UNCODED,Low Frequency
87,Computer Science,Senior,13,True,4.0,Most of the time,"Remnant 2,Hunt Showdown,Hearts of Iron 4,NA,NA","It requires frequent communication to **coordinate** how best to win, so yes. ",CLB-COP,High Frequency
81,Computer Science,Junior,19,True,7.0,Most of the time,"League of Legends,CS:GO,ARK,Hades,Jump King",I'd think so. I feel like I'm able to understand certain situations and be able to **delegate tasks** to people because of video games.,CLB-DEL,High Frequency
85,Computer Science,Senior,15,True,3.0,Some of the time,"For Honor,Rocket League,Clash Royale,Minecraft,Valorant",Yes I believe many of the games I play reward strong teamwork and are almost always easier in communicative groups. The biggest thing I've learned about being a good team player is that weaknesses are often more important than **strengths**. Aiming to assist your teammates in areas they are weak can have better results than trying to maximize your **strengths**.,CLB-MNG,Low Frequency
85,Computer Science,Senior,15,True,3.0,Some of the time,"For Honor,Rocket League,Clash Royale,Minecraft,Valorant",Yes I believe many of the games I play reward strong **teamwork** and are almost always easier in communicative groups. The biggest thing I've learned about being a good **team player** is that weaknesses are often more important than strengths. Aiming to assist your teammates in areas they are weak can have better results than trying to maximize your strengths.,INT-GRP,Low Frequency
85,Computer Science,Senior,15,True,3.0,Some of the time,"For Honor,Rocket League,Clash Royale,Minecraft,Valorant",Yes I believe many of the games I play reward strong teamwork and are almost always easier in communicative groups. The biggest thing I've learned about being a good team player is that weaknesses are often more important than strengths. Aiming to **assist** your teammates in areas they are weak can have better results than trying to maximize your strengths.,INT-OTH,Low Frequency
91,Computer Science,Junior,6,True,3.0,Half of the time,"Magic The Gathering Arena,Forza Horizon 5,Destiny 2,Call of Duty,CS:GO","I don't know if gaming necessarily makes me a better team player, but I do see how my teamwork **skills** shine while I'm gaming with others/friends.  I am normally able to communicate well with everyone, kind of giving me a ""mediator"" **role**.",CLB-MNG,Low Frequency
91,Computer Science,Junior,6,True,3.0,Half of the time,"Magic The Gathering Arena,Forza Horizon 5,Destiny 2,Call of Duty,CS:GO","I don't know if gaming necessarily makes me a better **team player**, but I do see how my **teamwork** skills shine while I'm gaming with others/friends.  I am normally able to communicate well with everyone, kind of giving me a ""mediator"" role.",INT-GRP,Low Frequency
94,Computer Science,Senior,16,True,5.0,Most of the time,"Old School Runescape,World of Warcraft,Minecraft,Skyrim,Borderlands","Yes my gaming has made me a better team player. Team based games require a certain level of group **coordination** and **cooperation**, and the majority of my gaming is team based. I've worked with groups of 5-40+ players to the successful completion of objective based content as both a raid leader and group participant.",CLB-COP,High Frequency
94,Computer Science,Senior,16,True,5.0,Most of the time,"Old School Runescape,World of Warcraft,Minecraft,Skyrim,Borderlands","Yes my gaming has made me a better team player. Team based games require a certain level of group coordination and cooperation, and the majority of my gaming is team based. I've worked with groups of 5-40+ players to the successful completion of **objective** based content as both a raid leader and group participant.",PRO-GOL,High Frequency
94,Computer Science,Senior,16,True,5.0,Most of the time,"Old School Runescape,World of Warcraft,Minecraft,Skyrim,Borderlands","Yes my gaming has made me a better **team player**. **Team based games** require a certain level of **group** coordination and cooperation, and the majority of my gaming is team based. I've worked with groups of 5-40+ players to the successful completion of objective based content as both a raid leader and **group** participant.",INT-GRP,High Frequency
81,Computer Science,Senior,12,True,2.0,Some of the time,"War thunder,World of tanks,deep rock galactic ,EU4,VR chat","Deep Rock Galactic makes you a better team player. From the complex battle against the bugs you are fighting to the excellent balance of the game every person on the team has an important role that has to be completed to make sure your team of dwarves has the highest chance at survival. From the moment you are placed into your battle field you have to have each others back from the miner who mines resources, to the scout who has to light the room. The heavy needs to know who and where almost everyone is so the team has the highest chance of survival. World of tanks is a game that I will admit that I had put too much time into. The general saying is that you had to have over 10,000 hours in a subject to become an expert in it and I am somewhat ashamed to admit that I have somewhat passed that mark a long time ago. However, I no longer play said game. That being said, I used to play World of tanks professionally where I competed for cash prizes. The coordination needed to run a 7-man team effectively is a **stressful** has given me skills and the ability to coordinate on a level that I believe I would have never gotten without these experiences. For these reasons I believe that playing these games has given me insights that I think apply greatly to a team setting.",COM-PSR,Low Frequency
81,Computer Science,Senior,12,True,2.0,Some of the time,"War thunder,World of tanks,deep rock galactic ,EU4,VR chat","Deep Rock Galactic makes you a better team player. From the complex battle against the bugs you are fighting to the excellent balance of the game every person on the team has an important role that has to be completed to make sure your team of dwarves has the highest chance at survival. From the moment you are placed into your battle field you have to have each others back from the miner who mines resources, to the scout who has to light the room. The heavy needs to know who and where almost everyone is so the team has the highest chance of survival. World of tanks is a game that I will admit that I had put too much time into. The general saying is that you had to have over 10,000 hours in a subject to become an expert in it and I am somewhat ashamed to admit that I have somewhat passed that mark a long time ago. However, I no longer play said game. That being said, I used to play World of tanks professionally where I competed for cash prizes. The **coordination** needed to run a 7-man team effectively is a stressful has given me skills and the ability to **coordinate** on a level that I believe I would have never gotten without these experiences. For these reasons I believe that playing these games has given me insights that I think apply greatly to a team setting.",CLB-COP,Low Frequency
81,Computer Science,Senior,12,True,2.0,Some of the time,"War thunder,World of tanks,deep rock galactic ,EU4,VR chat","Deep Rock Galactic makes you a better team player. From the complex battle against the bugs you are fighting to the excellent balance of the game every person on the team has an important **role** that has to be completed to make sure your team of dwarves has the highest chance at survival. From the moment you are placed into your battle field you have to have each others back from the miner who mines resources, to the scout who has to light the room. The heavy needs to know who and where almost everyone is so the team has the highest chance of survival. World of tanks is a game that I will admit that I had put too much time into. The general saying is that you had to have over 10,000 hours in a subject to become an expert in it and I am somewhat ashamed to admit that I have somewhat passed that mark a long time ago. However, I no longer play said game. That being said, I used to play World of tanks professionally where I competed for cash prizes. The coordination needed to run a 7-man team effectively is a stressful has given me **skills** and the ability to coordinate on a level that I believe I would have never gotten without these experiences. For these reasons I believe that playing these games has given me insights that I think apply greatly to a team setting.",CLB-MNG,Low Frequency
81,Computer Science,Senior,12,True,2.0,Some of the time,"War thunder,World of tanks,deep rock galactic ,EU4,VR chat","Deep Rock Galactic makes you a better **team player**. From the complex battle against the bugs you are fighting to the excellent balance of the game every person on the team has an important role that has to be completed to make sure your team of dwarves has the highest chance at survival. From the moment you are placed into your battle field you have to have each others back from the miner who mines resources, to the scout who has to light the room. The heavy needs to know who and where almost everyone is so the team has the highest chance of survival. World of tanks is a game that I will admit that I had put too much time into. The general saying is that you had to have over 10,000 hours in a subject to become an expert in it and I am somewhat ashamed to admit that I have somewhat passed that mark a long time ago. However, I no longer play said game. That being said, I used to play World of tanks professionally where I competed for cash prizes. The coordination needed to run a 7-man team effectively is a stressful has given me skills and the ability to coordinate on a level that I believe I would have never gotten without these experiences. For these reasons I believe that playing these games has given me insights that I think apply greatly to a team setting.",INT-GRP,Low Frequency
100,Computer Science,Senior - Second Bachelor,14,True,1.0,Most of the time,"Diablo,Baldur's Gate,Street Fighter,Zelda,Mario",Not really. I just game for fun with my friends. Mainly to let loose. I'm not a hardcore gamer.,UNCODED,Low Frequency
99,Computer Science,Junior,9,True,5.0,Always,"Rainbow Six Siege,Insurgency Sandstorm,Team Fortress 2,BattleBit Remastered,Roblox","I feel like it does, especially because it not only teaches me how to hold my own if my team can't do certain things, but it helps me rely on them for things I can't do. This especially applies to MilSim games where I physically cannot do certain things and need **help** from my teammates to progress and fight back.",INT-OTH,High Frequency
93,Computer Science,Senior - Second Bachelor,13,True,0.0,Some of the time,"Warcraft 3,DOTA,World of Warcraft,,","Yes, your teammates always have something I do have. I have never been a talented gamer and my teammate always do better than me. I rely on others' contribution within a team when I work in a team.",UNCODED,Low Frequency
89,Computer Science,Senior,12,False,0.0,Some of the time,"none,none,none,none,none","I am a good team member, but I don't think it has something to do with games. ",UNCODED,Low Frequency
92,Computer Science,Junior,15,True,3.0,Most of the time,"Age of Empires 2,Street Fighter 6,Elden Ring,Deep Rock Galactic,Rocket League","Yes, because you have to communicate and **coordinate** well with the other members of your team in order to be successful. ",CLB-COP,Low Frequency
93,Computer Science,Junior,15,True,7.0,Half of the time,"Rotmg,Destiny 2,Rust,Call of Duty,Minecraft","Yes, communication is essential if the game requires so, Rust is probably the best example because you cannot succeed without it, thus by forcing it. ",UNCODED,High Frequency
97,Computer Science,Junior,14,True,7.0,Some of the time,"World of Warcraft,Path of Exile,Hearthstone,Dark Souls Franchise,Diablo","I definitely think I have learned to be a better team player through gaming. Many games I play are single-player or single-player adjacent but the one that stands out is World of Warcraft. I have a lot of friends that play this game with me and running content such as dungeons (5-player) or Raids (up to 20-player) takes a lot of coordination and communication. This communication often needs to be **fast** and on the fly so I think this has taught me to be more specific and precise about communication on teams. Because of how large these teams can be sometimes, I also learned a lot of patience working on teams. Sometimes one team member just isn't understanding what to do and I think I learned a lot of patience and how to find new ways to communicate a point rather than just repeating the same thing over and over to no avail. I think team gaming has also taught me how to stay positive in a negative situation. I used to play a lot of League of Legends which is known for having a toxic play environment. This being the case, I learned how to not only just avoid the toxicity but spin it and try to make a positive environment out of it. It was amazing how much more often you would win games with positive environments compared to negative ones!",COM-EFF,High Frequency
97,Computer Science,Junior,14,True,7.0,Some of the time,"World of Warcraft,Path of Exile,Hearthstone,Dark Souls Franchise,Diablo","I definitely think I have learned to be a better team player through gaming. Many games I play are single-player or single-player adjacent but the one that stands out is World of Warcraft. I have a lot of friends that play this game with me and running content such as dungeons (5-player) or Raids (up to 20-player) takes a lot of coordination and communication. This communication often needs to be fast and on the fly so I think this has taught me to be more **specific** and **precise** about communication on teams. Because of how large these teams can be sometimes, I also learned a lot of patience working on teams. Sometimes one team member just isn't understanding what to do and I think I learned a lot of patience and how to find new ways to communicate a point rather than just repeating the same thing over and over to no avail. I think team gaming has also taught me how to stay positive in a negative situation. I used to play a lot of League of Legends which is known for having a toxic play environment. This being the case, I learned how to not only just avoid the toxicity but spin it and try to make a positive environment out of it. It was amazing how much more often you would win games with positive environments compared to negative ones!",COM-CLR,High Frequency
97,Computer Science,Junior,14,True,7.0,Some of the time,"World of Warcraft,Path of Exile,Hearthstone,Dark Souls Franchise,Diablo","I definitely think I have learned to be a better team player through gaming. Many games I play are single-player or single-player adjacent but the one that stands out is World of Warcraft. I have a lot of friends that play this game with me and running content such as dungeons (5-player) or Raids (up to 20-player) takes a lot of **coordination** and communication. This communication often needs to be fast and on the fly so I think this has taught me to be more specific and precise about communication on teams. Because of how large these teams can be sometimes, I also learned a lot of patience working on teams. Sometimes one team member just isn't understanding what to do and I think I learned a lot of patience and how to find new ways to communicate a point rather than just repeating the same thing over and over to no avail. I think team gaming has also taught me how to stay positive in a negative situation. I used to play a lot of League of Legends which is known for having a toxic play environment. This being the case, I learned how to not only just avoid the toxicity but spin it and try to make a positive environment out of it. It was amazing how much more often you would win games with positive environments compared to negative ones!",CLB-COP,High Frequency
97,Computer Science,Junior,14,True,7.0,Some of the time,"World of Warcraft,Path of Exile,Hearthstone,Dark Souls Franchise,Diablo","I definitely think I have learned to be a better **team player** through gaming. Many games I play are single-player or single-player adjacent but the one that stands out is World of Warcraft. I have a lot of friends that play this game with me and running content such as dungeons (5-player) or Raids (up to 20-player) takes a lot of coordination and communication. This communication often needs to be fast and on the fly so I think this has taught me to be more specific and precise about communication on **teams**. Because of how large these **teams** can be sometimes, I also learned a lot of patience working on **teams**. Sometimes one team member just isn't understanding what to do and I think I learned a lot of patience and how to find new ways to communicate a point rather than just repeating the same thing over and over to no avail. I think team gaming has also taught me how to stay positive in a negative situation. I used to play a lot of League of Legends which is known for having a toxic play environment. This being the case, I learned how to not only just avoid the toxicity but spin it and try to make a positive environment out of it. It was amazing how much more often you would win games with positive environments compared to negative ones!",INT-GRP,High Frequency
97,Computer Science,Junior,14,True,7.0,Some of the time,"World of Warcraft,Path of Exile,Hearthstone,Dark Souls Franchise,Diablo","I definitely think I have learned to be a better team player through gaming. Many games I play are single-player or single-player adjacent but the one that stands out is World of Warcraft. I have a lot of friends that play this game with me and running content such as dungeons (5-player) or Raids (up to 20-player) takes a lot of coordination and communication. This communication often needs to be fast and on the fly so I think this has taught me to be more specific and precise about communication on teams. Because of how large these teams can be sometimes, I also learned a lot of patience working on teams. Sometimes one team member just isn't understanding what to do and I think I learned a lot of patience and how to find new ways to communicate a point rather than just repeating the same thing over and over to no avail. I think team gaming has also taught me how to stay **positive** in a negative situation. I used to play a lot of League of Legends which is known for having a toxic play environment. This being the case, I learned how to not only just avoid the toxicity but spin it and try to make a **positive** environment out of it. It was amazing how much more often you would win games with **positive** environments compared to negative ones!",INT-ENC,High Frequency
97,Computer Science,Junior,14,True,7.0,Some of the time,"World of Warcraft,Path of Exile,Hearthstone,Dark Souls Franchise,Diablo","I definitely think I have learned to be a better team player through gaming. Many games I play are single-player or single-player adjacent but the one that stands out is World of Warcraft. I have a lot of friends that play this game with me and running content such as dungeons (5-player) or Raids (up to 20-player) takes a lot of coordination and communication. This communication often needs to be fast and on the fly so I think this has taught me to be more specific and precise about communication on teams. Because of how large these teams can be sometimes, I also learned a lot of **patience** working on teams. Sometimes one team member just isn't understanding what to do and I think I learned a lot of **patience** and how to find new ways to communicate a point rather than just repeating the same thing over and over to no avail. I think team gaming has also taught me how to stay positive in a negative situation. I used to play a lot of League of Legends which is known for having a toxic play environment. This being the case, I learned how to not only just avoid the toxicity but spin it and try to make a positive environment out of it. It was amazing how much more often you would win games with positive environments compared to negative ones!",INT-PAT,High Frequency
97,Computer Science,Junior,14,True,7.0,Some of the time,"World of Warcraft,Path of Exile,Hearthstone,Dark Souls Franchise,Diablo","I definitely think I have learned to be a better team player through gaming. Many games I play are **single-player** or **single-player** adjacent but the one that stands out is World of Warcraft. I have a lot of friends that play this game with me and running content such as dungeons (5-player) or Raids (up to 20-player) takes a lot of coordination and communication. This communication often needs to be fast and on the fly so I think this has taught me to be more specific and precise about communication on teams. Because of how large these teams can be sometimes, I also learned a lot of patience working on teams. Sometimes one team member just isn't understanding what to do and I think I learned a lot of patience and how to find new ways to communicate a point rather than just repeating the same thing over and over to no avail. I think team gaming has also taught me how to stay positive in a negative situation. I used to play a lot of League of Legends which is known for having a toxic play environment. This being the case, I learned how to not only just avoid the toxicity but spin it and try to make a positive environment out of it. It was amazing how much more often you would win games with positive environments compared to negative ones!",DEF-SLO,High Frequency
97,Computer Science,Junior,14,True,7.0,Some of the time,"World of Warcraft,Path of Exile,Hearthstone,Dark Souls Franchise,Diablo","I definitely think I have learned to be a better team player through gaming. Many games I play are single-player or single-player adjacent but the one that stands out is World of Warcraft. I have a lot of friends that play this game with me and running content such as dungeons (5-player) or Raids (up to 20-player) takes a lot of coordination and communication. This communication often needs to be fast and on the fly so I think this has taught me to be more specific and precise about communication on teams. Because of how large these teams can be sometimes, I also learned a lot of patience working on teams. Sometimes one team member just isn't understanding what to do and I think I learned a lot of patience and how to find new ways to communicate a point rather than just repeating the same thing over and over to no avail. I think team gaming has also taught me how to stay positive in a negative situation. I used to play a lot of League of Legends which is known for having a **toxic** play environment. This being the case, I learned how to not only just avoid the **toxicity** but spin it and try to make a positive environment out of it. It was amazing how much more often you would win games with positive environments compared to negative ones!",DEF-ISO,High Frequency
89,Computer Science,Senior,3,False,1.0,Never,"Various Cell phone games ,Cities Skylines,Sudoku,,","I typically play video games to kill 10 to 15 minutes at a time when **waiting** for the bus or other times when I just need to detach for a little. I don't typically play team-based games, or play games with any regularity. ",INT-PAT,Low Frequency
95,Computer Science,Senior - Second Bachelor,7,True,5.0,Most of the time,"Team Fortress 2,Counter-Strike,Overwatch,Pokemon,Apex Legends","Yes, because I have met all sorts of people through gaming which has made me appreciate that everyone has a different skillset and personality but we all can connect in some way.",UNCODED,High Frequency
86,Computer Science,Junior,13,True,0.0,Always,"Fortnite ,Call of Duty,PUBG,Among us ,Apex",Yes. Its more fun to play when you win. You win by having strong team communication. ,UNCODED,Low Frequency
81,Computer Science,Junior,18,True,7.0,Half of the time,"Battlefield 1,Total War (all games in series),Diablo II,Chivalry 2,Mortal Kombat (recent installments)","Depends. I think it makes me a better leader in tactic based games, but it doesn't **help** in more reaction/skill based games.",INT-OTH,High Frequency
87,Computer Science,Junior,12,True,3.0,Always,"Rainbow Six Siege,Rust,Ready or Not,Minecraft,CSGO","Yes, I believe gaming does make me a better **team player** because the games I play involve a lot of communication and individual work that helps out the team as a whole.",INT-GRP,Low Frequency
80,Computer Science,Junior,18,True,4.0,Most of the time,"Apex,Overwatch,Minecraft ,Halo,GTA",Developing communication is key,UNCODED,High Frequency
71,Exp St: Eng Int,Senior,12,True,5.0,Most of the time,"Team fight tactics ,league of legends,sqaud ,Vr Pavlov,","Yes, the **short** answer is im able to work with a team an divert attempts of them leading me over and edge. im able to **effectively communicate** our strengths and weaknesses. The art of war also has given me a good idea of when to rally your team to attack or defend.",COM-EFF,High Frequency
71,Exp St: Eng Int,Senior,12,True,5.0,Most of the time,"Team fight tactics ,league of legends,sqaud ,Vr Pavlov,","Yes, the short answer is im able to work with a team an divert attempts of them leading me over and edge. im able to effectively communicate our **strengths and weaknesses**. The art of war also has given me a good idea of when to rally your team to attack or defend.",CLB-MNG,High Frequency
100,Computer Science,Junior,14,True,1.0,Most of the time,"Rainbow Six Siege,Overwatch,Call of Duty,Fortnite,Apex Legends","Gaming makes me a better **team player** because it teaches me to be selfless. For example, when choosing roles within a team game, I often choose roles that I may not have otherwise chosen on my own, or roles that I may not feel comfortable in, such as playing as a healer. Although healing is an important component of team play, healing is often not as fun or as exciting as playing other roles. However, the team needs a healer in order to win. Therefore, if we want our team to succeed, sometimes we must choose roles within a team based on the needs of the team and not the needs of the individual.",INT-GRP,Low Frequency
100,Computer Science,Junior,14,True,1.0,Most of the time,"Rainbow Six Siege,Overwatch,Call of Duty,Fortnite,Apex Legends","Gaming makes me a better team player because it teaches me to be **selfless**. For example, when choosing roles within a team game, I often choose roles that I may not have otherwise chosen on my own, or roles that I may not feel comfortable in, such as playing as a **healer**. Although healing is an important component of team play, healing is often not as fun or as exciting as playing other roles. However, the team needs a **healer** in order to win. Therefore, if we want our team to succeed, sometimes we must choose roles within a team based on the needs of the team and not the needs of the individual.",INT-OTH,Low Frequency
98,Computer Science,Junior,15,True,3.0,Some of the time,"Titanfall 2,Destiny 2,Terraria,Elden Ring,Counter Strike GO",I think it does to a degree by improving my ability to communicate complex concepts under **stress**.   ,COM-PSR,Low Frequency
76,Computer Science,Senior,16,True,3.0,Some of the time,"Overwatch,if all time... Black ops 3,Fortnite ,Counter-Strike,Minecraft","Yes, if you've ever competitively gamed, you know your communication and teamwork has to be flawless. You and the team your playing against are frequently very close in skill it simply comes down to team **chemistry**. ",CLB-CMR,Low Frequency
76,Computer Science,Senior,16,True,3.0,Some of the time,"Overwatch,if all time... Black ops 3,Fortnite ,Counter-Strike,Minecraft","Yes, if you've ever competitively gamed, you know your communication and **teamwork** has to be flawless. You and the team your playing against are frequently very close in skill it simply comes down to team chemistry. ",INT-GRP,Low Frequency
96,Computer Science,Senior - Second Bachelor,9,True,4.0,Most of the time,"COD,NBA 2K,Fortnite,Minecraft,More story driven games like Last of Us or God of War","I would say so, I think that gaming can show a lot of the positive impacts of teamwork. When you game with a team and work well together you often are having fun and also accomplishing the goal you are trying to achieve. I would think that same **approach** would help in most team settings and just help to make work go smoother overall as a team.",PRO-STR,High Frequency
96,Computer Science,Senior - Second Bachelor,9,True,4.0,Most of the time,"COD,NBA 2K,Fortnite,Minecraft,More story driven games like Last of Us or God of War","I would say so, I think that gaming can show a lot of the positive impacts of teamwork. When you game with a team and work well together you often are having fun and also accomplishing the **goal** you are trying to achieve. I would think that same approach would help in most team settings and just help to make work go smoother overall as a team.",PRO-GOL,High Frequency
